t,u,v,x,y,z,r,num_contours,threshold
26.149988174438477,218,397,-1.8593209892232614,-2.992832452216348,9.15006100040667,49.18,7,
58.82406234741211,220,396,-1.8276949541284404,-2.9816513761467887,9.174311926605505,49.05,9,
91.29190444946289,217,397,-1.8779314749847469,-2.993441122635753,9.151921903599755,49.17,6,
123.7027645111084,211,399,-1.9736779817208647,-3.0107554029488997,9.089072914562715,49.51,7,
157.6070785522461,199,404,-2.1403829789857935,-3.033741120757695,8.87924230465667,50.68,6,
190.58704376220703,187,409,-2.2916091077263117,-3.0451182010378632,8.64885642898328,52.03,7,
223.87385368347168,181,413,-2.372193567961165,-3.0875214163335234,8.566533409480297,52.53,22,
256.00385665893555,173,417,-2.490234375,-3.13562925170068,8.503401360544217,52.92,18,
289.46399688720703,158,424,-2.6849781613976704,-3.189129229062673,8.319467554076539,54.09,6,
321.61688804626465,143,429,-2.9206282785753728,-3.26131971286582,8.282716731087797,54.33,21,
355.72290420532227,135,431,-3.0498273147296797,-3.2928006620080907,8.275101140125045,54.38,12,
388.25201988220215,135,432,-3.041995769900954,-3.301540719002201,8.253851797505503,54.52,11,
418.62988471984863,138,435,-3.0651917386811958,-3.434388502724028,8.453879391320685,53.23,12,
451.1229991912842,129,444,-3.4675681576549215,-3.8730255164034024,9.113001215066829,49.38,10,
517.7230834960938,116,452,-4.298068448883667,-4.670975323149237,10.575793184488838,42.55,14,
550.6899356842041,122,459,-4.92519162735849,-5.696795227524973,12.486126526082131,36.04,10,
583.7011337280273,150,458,-4.1178693258578765,-5.5221561740070255,12.15887597946501,37.01,6,
616.5437698364258,197,452,-2.595752780720339,-4.678672316384181,10.593220338983052,42.48,6,
649.914026260376,241,447,-1.5243707624838572,-4.176980198019803,9.685751183814034,46.46,6,
682.9879283905029,277,441,-0.7660736908783783,-3.7447833863275033,8.942766295707472,50.32,5,
716.1791324615479,328,429,0.13104101955052078,-3.2374840124246305,8.222181618856204,54.73,6,
749.4418621063232,386,402,1.0789199261487963,-2.769420131291028,8.205689277899342,54.84,6,
